paper,required_or_conditional_experiment,requirement_class,instruction_sources,authoritative_artifact_or_commit,status,rationale
Paper0.8,D5 structured rule-induction ladder,planned_required_next,AGENTS_paper0_8_dataset_taxonomy_patch.md,docs/papers/paper0_8/results/taxonomy/taxonomy_manifest.json @ 8197d7f,pending,"Generator/posterior validity exists, but no learned-model D5 run has been launched; explicitly named current work."
Paper0.8,D3-B/C variants,aspirational_optional,AGENTS_paper0_8_copy_calibration_and_D4_parallel_v2.md,docs/papers/paper0_8/paper0_8.tex,optional-future,"Proposed taxonomy refinements are not prerequisites for the completed D4/copy claims."
Paper0.85,R0 shared-vocabulary prerequisite,required,AGENTS_paper0_85.md,docs/papers/paper0_85/results/r0_gate_v2/r0_manifest.json @ 61dd990,complete,"Leakage-corrected R0 passes; v1 is quarantined as lexical-transfer stress."
Paper0.85,R1/R2 output-condition recurrence comparison,required,AGENTS_paper0_85.md,docs/papers/paper0_85/results/recurrence_stage1_v2/analysis_manifest.json @ edf14a9,complete,"One-token and autoregressive frontiers are K=3; recurrence gain is zero."
Paper0.85,Recurrence-frontier data interventions,required_next_iteration,AGENTS_paper0_85_next_iteration_recurrence_frontier.md,docs/papers/paper0_85/results/recurrence_frontier_v2/analysis_manifest.json @ d99452e,complete_gated-null,"Three-seed partial-start/diversity/boundary controls remain at frontier 3; O0 follow-up gate is closed."
Paper0.85,Mechanistic recurrence rescue and architecture scaling,conditional_on_rescue,AGENTS_paper0_85_next_iteration_recurrence_frontier.md,docs/papers/paper0_85/results/recurrence_frontier_v2/analysis_manifest.json,gated-stop,"No recurrence rescue occurred, so later mechanism/scaling branches are not required."
Paper0.9,Shared R0-R2 M0-M4 comparison and semantic metric correction,required,"AGENTS_paper0_9.md; AGENTS_paper0_9_patch_paper0_85_tasks.md",docs/papers/paper0_9/results/learned_controller_v1/analysis_v2/analysis_manifest.json @ 160b7ab,complete,"M3/M4 learned results and corrected machine-specific execution/termination metrics are tracked."
Paper0.9,Staged A-E controller resource study,required_next,AGENTS_paper0_9_patch_paper0_85_tasks.md,docs/papers/paper0_9/results/learned_controller_v3/plan_manifest.json @ 7cd939d,pending,"Plan-only manifest explicitly records no accelerator results; currently active work."
Paper0.9,R3-R5 branching/search and controller mechanisms,conditional_on_stage_gates,AGENTS_paper0_9_patch_paper0_85_tasks.md,docs/papers/paper0_9/results/learned_controller_v3/plan_manifest.json,gated_pending,"Must follow staged gates; not an independently missing experiment before current A-E work."
Paper0.9,Pretrained/tool-calling appendix,optional,AGENTS_paper0_9.md,docs/papers/paper0_9/paper0_9.tex,optional-future,"Explicitly appendix-only external validity."
Paper1,Controlled weak-bridge selector suite,required,docs/AGENTS.md,docs/papers/paper1/results/manifest.json @ ae562ed,complete,"Five-seed controlled intervention and matched-budget selectors establish generator-specific sufficiency."
Paper1,Frozen-Qwen natural candidate intervention,required,"docs/AGENTS.md; AGENTS_paper_1_equiv.md",docs/papers/paper1/results/natural/manifest.json @ 28cd286,complete_gated-null,"Identity-disjoint actual-KV run is directionally positive for bridge but intervals and incremental prediction fail."
Paper1,Larger unchanged natural replication,required_next,"agents-status.md; AGENTS_paper_1_equiv.md",configs/paper1/natural_replication_v2.json @ 95dfc76,pending,"Three-seed 24-per-split replication is preregistered and awaiting coordinated accelerator execution."
Paper1,Persistent prototypes/adapters and override audit,conditional_on_natural_gate,"docs/AGENTS.md; AGENTS_paper_1_equiv.md",docs/papers/paper1/results/natural/equivalence/equivalence_gate_decision.json,gated-stop,"Persistent learning is forbidden unless the larger frozen natural gate passes."
Series,Cross-paper entropy/variance terminology alignment,required,AGENTS_entropy_papers_0_5_0_6.md,"papers 0.5/0.6 integrated sources @ 04fa28c",complete,"Within-example entropy is separated from across-realization dispersion and depth is not described as iid sampling."
Series,Paper0.8 D5 learned run,active_named,AGENTS_paper0_8_dataset_taxonomy_patch.md,docs/papers/paper0_8/results/taxonomy/taxonomy_manifest.json,pending,"One of the three explicitly named active/deferred items."
Series,Paper0.9 v3 staged run,active_named,AGENTS_paper0_9_patch_paper0_85_tasks.md,docs/papers/paper0_9/results/learned_controller_v3/plan_manifest.json,pending,"One of the three explicitly named active items."
Series,Paper1 larger natural replication,active_named,agents-status.md,configs/paper1/natural_replication_v2.json,pending,"One of the three explicitly named active items."
