budget,condition,heads,layers,model_result,seed,status,width
1,O3,2,1,False,37,planned_accelerator,16
2,O0,2,1,False,11,planned_accelerator,16
2,O1,2,1,False,11,planned_accelerator,16
2,O2,2,1,False,11,planned_accelerator,16
2,O3,2,1,False,11,planned_accelerator,16
2,O0,2,1,False,23,planned_accelerator,16
2,O1,2,1,False,23,planned_accelerator,16
2,O2,2,1,False,23,planned_accelerator,16
2,O3,2,1,False,23,planned_accelerator,16
2,O0,2,1,False,37,planned_accelerator,16
2,O1,2,1,False,37,planned_accelerator,16
2,O2,2,1,False,37,planned_accelerator,16
2,O3,2,1,False,37,planned_accelerator,16
4,O0,2,1,False,11,planned_accelerator,16
4,O1,2,1,False,11,planned_accelerator,16
4,O2,2,1,False,11,planned_accelerator,16
4,O3,2,1,False,11,planned_accelerator,16
4,O0,2,1,False,23,planned_accelerator,16
4,O1,2,1,False,23,planned_accelerator,16
4,O2,2,1,False,23,planned_accelerator,16
4,O3,2,1,False,23,planned_accelerator,16
4,O0,2,1,False,37,planned_accelerator,16
4,O1,2,1,False,37,planned_accelerator,16
4,O2,2,1,False,37,planned_accelerator,16
4,O3,2,1,False,37,planned_accelerator,16
1,O0,4,1,False,11,planned_accelerator,16
1,O1,4,1,False,11,planned_accelerator,16
1,O2,4,1,False,11,planned_accelerator,16
1,O3,4,1,False,11,planned_accelerator,16
1,O0,4,1,False,23,planned_accelerator,16
1,O1,4,1,False,23,planned_accelerator,16
1,O2,4,1,False,23,planned_accelerator,16
1,O3,4,1,False,23,planned_accelerator,16
1,O0,4,1,False,37,planned_accelerator,16
1,O1,4,1,False,37,planned_accelerator,16
1,O2,4,1,False,37,planned_accelerator,16
1,O3,4,1,False,37,planned_accelerator,16
2,O0,4,1,False,11,planned_accelerator,16
2,O1,4,1,False,11,planned_accelerator,16
2,O2,4,1,False,11,planned_accelerator,16
2,O3,4,1,False,11,planned_accelerator,16
2,O0,4,1,False,23,planned_accelerator,16
2,O1,4,1,False,23,planned_accelerator,16
2,O2,4,1,False,23,planned_accelerator,16
2,O3,4,1,False,23,planned_accelerator,16
2,O0,4,1,False,37,planned_accelerator,16
2,O1,4,1,False,37,planned_accelerator,16
2,O2,4,1,False,37,planned_accelerator,16
2,O3,4,1,False,37,planned_accelerator,16
4,O0,4,1,False,11,planned_accelerator,16
4,O1,4,1,False,11,planned_accelerator,16
4,O2,4,1,False,11,planned_accelerator,16
4,O3,4,1,False,11,planned_accelerator,16
4,O0,4,1,False,23,planned_accelerator,16
4,O1,4,1,False,23,planned_accelerator,16
4,O2,4,1,False,23,planned_accelerator,16
4,O3,4,1,False,23,planned_accelerator,16
4,O0,4,1,False,37,planned_accelerator,16
4,O1,4,1,False,37,planned_accelerator,16
4,O2,4,1,False,37,planned_accelerator,16
4,O3,4,1,False,37,planned_accelerator,16
1,O0,1,1,False,11,planned_accelerator,32
1,O1,1,1,False,11,planned_accelerator,32
1,O2,1,1,False,11,planned_accelerator,32
1,O3,1,1,False,11,planned_accelerator,32
1,O0,1,1,False,23,planned_accelerator,32
1,O1,1,1,False,23,planned_accelerator,32
1,O2,1,1,False,23,planned_accelerator,32
1,O3,1,1,False,23,planned_accelerator,32
1,O0,1,1,False,37,planned_accelerator,32
1,O1,1,1,False,37,planned_accelerator,32
1,O2,1,1,False,37,planned_accelerator,32
1,O3,1,1,False,37,planned_accelerator,32
2,O0,1,1,False,11,planned_accelerator,32
2,O1,1,1,False,11,planned_accelerator,32
2,O2,1,1,False,11,planned_accelerator,32
2,O3,1,1,False,11,planned_accelerator,32
2,O0,1,1,False,23,planned_accelerator,32
2,O1,1,1,False,23,planned_accelerator,32
2,O2,1,1,False,23,planned_accelerator,32
2,O3,1,1,False,23,planned_accelerator,32
2,O0,1,1,False,37,planned_accelerator,32
2,O1,1,1,False,37,planned_accelerator,32
2,O2,1,1,False,37,planned_accelerator,32
2,O3,1,1,False,37,planned_accelerator,32
4,O0,1,1,False,11,planned_accelerator,32
4,O1,1,1,False,11,planned_accelerator,32
4,O2,1,1,False,11,planned_accelerator,32
4,O3,1,1,False,11,planned_accelerator,32
4,O0,1,1,False,23,planned_accelerator,32
4,O1,1,1,False,23,planned_accelerator,32
4,O2,1,1,False,23,planned_accelerator,32
4,O3,1,1,False,23,planned_accelerator,32
4,O0,1,1,False,37,planned_accelerator,32
4,O1,1,1,False,37,planned_accelerator,32
4,O2,1,1,False,37,planned_accelerator,32
4,O3,1,1,False,37,planned_accelerator,32
1,O0,2,1,False,11,planned_accelerator,32
1,O1,2,1,False,11,planned_accelerator,32
1,O2,2,1,False,11,planned_accelerator,32
1,O3,2,1,False,11,planned_accelerator,32
1,O0,2,1,False,23,planned_accelerator,32
1,O1,2,1,False,23,planned_accelerator,32
1,O2,2,1,False,23,planned_accelerator,32
1,O3,2,1,False,23,planned_accelerator,32
1,O0,2,1,False,37,planned_accelerator,32
1,O1,2,1,False,37,planned_accelerator,32
1,O2,2,1,False,37,planned_accelerator,32
1,O3,2,1,False,37,planned_accelerator,32
2,O0,2,1,False,11,planned_accelerator,32
2,O1,2,1,False,11,planned_accelerator,32
2,O2,2,1,False,11,planned_accelerator,32
2,O3,2,1,False,11,planned_accelerator,32
2,O0,2,1,False,23,planned_accelerator,32
2,O1,2,1,False,23,planned_accelerator,32
2,O2,2,1,False,23,planned_accelerator,32
2,O3,2,1,False,23,planned_accelerator,32
2,O0,2,1,False,37,planned_accelerator,32
2,O1,2,1,False,37,planned_accelerator,32
2,O2,2,1,False,37,planned_accelerator,32
2,O3,2,1,False,37,planned_accelerator,32
4,O0,2,1,False,11,planned_accelerator,32
4,O1,2,1,False,11,planned_accelerator,32
4,O2,2,1,False,11,planned_accelerator,32
4,O3,2,1,False,11,planned_accelerator,32
4,O0,2,1,False,23,planned_accelerator,32
4,O1,2,1,False,23,planned_accelerator,32
4,O2,2,1,False,23,planned_accelerator,32
4,O3,2,1,False,23,planned_accelerator,32
4,O0,2,1,False,37,planned_accelerator,32
4,O1,2,1,False,37,planned_accelerator,32
4,O2,2,1,False,37,planned_accelerator,32
4,O3,2,1,False,37,planned_accelerator,32
1,O0,4,1,False,11,planned_accelerator,32
1,O1,4,1,False,11,planned_accelerator,32
1,O2,4,1,False,11,planned_accelerator,32
1,O3,4,1,False,11,planned_accelerator,32
1,O0,4,1,False,23,planned_accelerator,32
1,O1,4,1,False,23,planned_accelerator,32
1,O2,4,1,False,23,planned_accelerator,32
1,O3,4,1,False,23,planned_accelerator,32
1,O0,4,1,False,37,planned_accelerator,32
1,O1,4,1,False,37,planned_accelerator,32
1,O2,4,1,False,37,planned_accelerator,32
1,O3,4,1,False,37,planned_accelerator,32
2,O0,4,1,False,11,planned_accelerator,32
2,O1,4,1,False,11,planned_accelerator,32
2,O2,4,1,False,11,planned_accelerator,32
2,O3,4,1,False,11,planned_accelerator,32
2,O0,4,1,False,23,planned_accelerator,32
2,O1,4,1,False,23,planned_accelerator,32
2,O2,4,1,False,23,planned_accelerator,32
2,O3,4,1,False,23,planned_accelerator,32
2,O0,4,1,False,37,planned_accelerator,32
2,O1,4,1,False,37,planned_accelerator,32
2,O2,4,1,False,37,planned_accelerator,32
2,O3,4,1,False,37,planned_accelerator,32
4,O0,4,1,False,11,planned_accelerator,32
4,O1,4,1,False,11,planned_accelerator,32
4,O2,4,1,False,11,planned_accelerator,32
4,O3,4,1,False,11,planned_accelerator,32
4,O0,4,1,False,23,planned_accelerator,32
4,O1,4,1,False,23,planned_accelerator,32
4,O2,4,1,False,23,planned_accelerator,32
4,O3,4,1,False,23,planned_accelerator,32
4,O0,4,1,False,37,planned_accelerator,32
4,O1,4,1,False,37,planned_accelerator,32
4,O2,4,1,False,37,planned_accelerator,32
4,O3,4,1,False,37,planned_accelerator,32
1,O0,1,1,False,11,planned_accelerator,64
1,O1,1,1,False,11,planned_accelerator,64
1,O2,1,1,False,11,planned_accelerator,64
1,O3,1,1,False,11,planned_accelerator,64
1,O0,1,1,False,23,planned_accelerator,64
1,O1,1,1,False,23,planned_accelerator,64
1,O2,1,1,False,23,planned_accelerator,64
1,O3,1,1,False,23,planned_accelerator,64
1,O0,1,1,False,37,planned_accelerator,64
1,O1,1,1,False,37,planned_accelerator,64
1,O2,1,1,False,37,planned_accelerator,64
1,O3,1,1,False,37,planned_accelerator,64
2,O0,1,1,False,11,planned_accelerator,64
2,O1,1,1,False,11,planned_accelerator,64
2,O2,1,1,False,11,planned_accelerator,64
2,O3,1,1,False,11,planned_accelerator,64
2,O0,1,1,False,23,planned_accelerator,64
2,O1,1,1,False,23,planned_accelerator,64
2,O2,1,1,False,23,planned_accelerator,64
2,O3,1,1,False,23,planned_accelerator,64
2,O0,1,1,False,37,planned_accelerator,64
2,O1,1,1,False,37,planned_accelerator,64
2,O2,1,1,False,37,planned_accelerator,64
2,O3,1,1,False,37,planned_accelerator,64
4,O0,1,1,False,11,planned_accelerator,64
4,O1,1,1,False,11,planned_accelerator,64
4,O2,1,1,False,11,planned_accelerator,64
4,O3,1,1,False,11,planned_accelerator,64
4,O0,1,1,False,23,planned_accelerator,64
4,O1,1,1,False,23,planned_accelerator,64
4,O2,1,1,False,23,planned_accelerator,64
4,O3,1,1,False,23,planned_accelerator,64
4,O0,1,1,False,37,planned_accelerator,64
4,O1,1,1,False,37,planned_accelerator,64
4,O2,1,1,False,37,planned_accelerator,64
4,O3,1,1,False,37,planned_accelerator,64
1,O0,2,1,False,11,planned_accelerator,64
1,O1,2,1,False,11,planned_accelerator,64
1,O2,2,1,False,11,planned_accelerator,64
1,O3,2,1,False,11,planned_accelerator,64
1,O0,2,1,False,23,planned_accelerator,64
1,O1,2,1,False,23,planned_accelerator,64
1,O2,2,1,False,23,planned_accelerator,64
1,O3,2,1,False,23,planned_accelerator,64
1,O0,2,1,False,37,planned_accelerator,64
1,O1,2,1,False,37,planned_accelerator,64
1,O2,2,1,False,37,planned_accelerator,64
1,O3,2,1,False,37,planned_accelerator,64
2,O0,2,1,False,11,planned_accelerator,64
2,O1,2,1,False,11,planned_accelerator,64
2,O2,2,1,False,11,planned_accelerator,64
2,O3,2,1,False,11,planned_accelerator,64
2,O0,2,1,False,23,planned_accelerator,64
2,O1,2,1,False,23,planned_accelerator,64
2,O2,2,1,False,23,planned_accelerator,64
2,O3,2,1,False,23,planned_accelerator,64
2,O0,2,1,False,37,planned_accelerator,64
2,O1,2,1,False,37,planned_accelerator,64
2,O2,2,1,False,37,planned_accelerator,64
2,O3,2,1,False,37,planned_accelerator,64
4,O0,2,1,False,11,planned_accelerator,64
4,O1,2,1,False,11,planned_accelerator,64
4,O2,2,1,False,11,planned_accelerator,64
4,O3,2,1,False,11,planned_accelerator,64
4,O0,2,1,False,23,planned_accelerator,64
4,O1,2,1,False,23,planned_accelerator,64
4,O2,2,1,False,23,planned_accelerator,64
4,O3,2,1,False,23,planned_accelerator,64
4,O0,2,1,False,37,planned_accelerator,64
4,O1,2,1,False,37,planned_accelerator,64
4,O2,2,1,False,37,planned_accelerator,64
4,O3,2,1,False,37,planned_accelerator,64
1,O0,4,1,False,11,planned_accelerator,64
1,O1,4,1,False,11,planned_accelerator,64
1,O2,4,1,False,11,planned_accelerator,64
1,O3,4,1,False,11,planned_accelerator,64
1,O0,4,1,False,23,planned_accelerator,64
1,O1,4,1,False,23,planned_accelerator,64
1,O2,4,1,False,23,planned_accelerator,64
1,O3,4,1,False,23,planned_accelerator,64
1,O0,4,1,False,37,planned_accelerator,64
1,O1,4,1,False,37,planned_accelerator,64
1,O2,4,1,False,37,planned_accelerator,64
1,O3,4,1,False,37,planned_accelerator,64
2,O0,4,1,False,11,planned_accelerator,64
2,O1,4,1,False,11,planned_accelerator,64
2,O2,4,1,False,11,planned_accelerator,64
2,O3,4,1,False,11,planned_accelerator,64
2,O0,4,1,False,23,planned_accelerator,64
2,O1,4,1,False,23,planned_accelerator,64
2,O2,4,1,False,23,planned_accelerator,64
2,O3,4,1,False,23,planned_accelerator,64
2,O0,4,1,False,37,planned_accelerator,64
2,O1,4,1,False,37,planned_accelerator,64
2,O2,4,1,False,37,planned_accelerator,64
2,O3,4,1,False,37,planned_accelerator,64
4,O0,4,1,False,11,planned_accelerator,64
4,O1,4,1,False,11,planned_accelerator,64
4,O2,4,1,False,11,planned_accelerator,64
4,O3,4,1,False,11,planned_accelerator,64
4,O0,4,1,False,23,planned_accelerator,64
4,O1,4,1,False,23,planned_accelerator,64
4,O2,4,1,False,23,planned_accelerator,64
4,O3,4,1,False,23,planned_accelerator,64
4,O0,4,1,False,37,planned_accelerator,64
4,O1,4,1,False,37,planned_accelerator,64
4,O2,4,1,False,37,planned_accelerator,64
4,O3,4,1,False,37,planned_accelerator,64
1,O0,1,2,False,11,planned_accelerator,16
1,O1,1,2,False,11,planned_accelerator,16
1,O2,1,2,False,11,planned_accelerator,16
1,O3,1,2,False,11,planned_accelerator,16
1,O0,1,2,False,23,planned_accelerator,16
1,O1,1,2,False,23,planned_accelerator,16
1,O2,1,2,False,23,planned_accelerator,16
1,O3,1,2,False,23,planned_accelerator,16
1,O0,1,2,False,37,planned_accelerator,16
1,O1,1,2,False,37,planned_accelerator,16
1,O2,1,2,False,37,planned_accelerator,16
1,O3,1,2,False,37,planned_accelerator,16
2,O0,1,2,False,11,planned_accelerator,16
2,O1,1,2,False,11,planned_accelerator,16
2,O2,1,2,False,11,planned_accelerator,16
2,O3,1,2,False,11,planned_accelerator,16
2,O0,1,2,False,23,planned_accelerator,16
2,O1,1,2,False,23,planned_accelerator,16
2,O2,1,2,False,23,planned_accelerator,16
2,O3,1,2,False,23,planned_accelerator,16
2,O0,1,2,False,37,planned_accelerator,16
2,O1,1,2,False,37,planned_accelerator,16
2,O2,1,2,False,37,planned_accelerator,16
2,O3,1,2,False,37,planned_accelerator,16
4,O0,1,2,False,11,planned_accelerator,16
4,O1,1,2,False,11,planned_accelerator,16
4,O2,1,2,False,11,planned_accelerator,16
4,O3,1,2,False,11,planned_accelerator,16
4,O0,1,2,False,23,planned_accelerator,16
4,O1,1,2,False,23,planned_accelerator,16
4,O2,1,2,False,23,planned_accelerator,16
4,O3,1,2,False,23,planned_accelerator,16
4,O0,1,2,False,37,planned_accelerator,16
4,O1,1,2,False,37,planned_accelerator,16
4,O2,1,2,False,37,planned_accelerator,16
4,O3,1,2,False,37,planned_accelerator,16
1,O0,2,2,False,11,planned_accelerator,16
1,O1,2,2,False,11,planned_accelerator,16
1,O2,2,2,False,11,planned_accelerator,16
1,O3,2,2,False,11,planned_accelerator,16
1,O0,2,2,False,23,planned_accelerator,16
1,O1,2,2,False,23,planned_accelerator,16
1,O2,2,2,False,23,planned_accelerator,16
1,O3,2,2,False,23,planned_accelerator,16
1,O0,2,2,False,37,planned_accelerator,16
1,O1,2,2,False,37,planned_accelerator,16
1,O2,2,2,False,37,planned_accelerator,16
1,O3,2,2,False,37,planned_accelerator,16
2,O0,2,2,False,11,planned_accelerator,16
2,O1,2,2,False,11,planned_accelerator,16
2,O2,2,2,False,11,planned_accelerator,16
2,O3,2,2,False,11,planned_accelerator,16
2,O0,2,2,False,23,planned_accelerator,16
2,O1,2,2,False,23,planned_accelerator,16
2,O2,2,2,False,23,planned_accelerator,16
2,O3,2,2,False,23,planned_accelerator,16
2,O0,2,2,False,37,planned_accelerator,16
2,O1,2,2,False,37,planned_accelerator,16
2,O2,2,2,False,37,planned_accelerator,16
2,O3,2,2,False,37,planned_accelerator,16
4,O0,2,2,False,11,planned_accelerator,16
4,O1,2,2,False,11,planned_accelerator,16
4,O2,2,2,False,11,planned_accelerator,16
4,O3,2,2,False,11,planned_accelerator,16
4,O0,2,2,False,23,planned_accelerator,16
4,O1,2,2,False,23,planned_accelerator,16
4,O2,2,2,False,23,planned_accelerator,16
4,O3,2,2,False,23,planned_accelerator,16
4,O0,2,2,False,37,planned_accelerator,16
4,O1,2,2,False,37,planned_accelerator,16
4,O2,2,2,False,37,planned_accelerator,16
4,O3,2,2,False,37,planned_accelerator,16
1,O0,4,2,False,11,planned_accelerator,16
1,O1,4,2,False,11,planned_accelerator,16
1,O2,4,2,False,11,planned_accelerator,16
1,O3,4,2,False,11,planned_accelerator,16
1,O0,4,2,False,23,planned_accelerator,16
1,O1,4,2,False,23,planned_accelerator,16
1,O2,4,2,False,23,planned_accelerator,16
1,O3,4,2,False,23,planned_accelerator,16
1,O0,4,2,False,37,planned_accelerator,16
1,O1,4,2,False,37,planned_accelerator,16
1,O2,4,2,False,37,planned_accelerator,16
1,O3,4,2,False,37,planned_accelerator,16
2,O0,4,2,False,11,planned_accelerator,16
2,O1,4,2,False,11,planned_accelerator,16
2,O2,4,2,False,11,planned_accelerator,16
2,O3,4,2,False,11,planned_accelerator,16
2,O0,4,2,False,23,planned_accelerator,16
2,O1,4,2,False,23,planned_accelerator,16
2,O2,4,2,False,23,planned_accelerator,16
2,O3,4,2,False,23,planned_accelerator,16
2,O0,4,2,False,37,planned_accelerator,16
2,O1,4,2,False,37,planned_accelerator,16
2,O2,4,2,False,37,planned_accelerator,16
2,O3,4,2,False,37,planned_accelerator,16
4,O0,4,2,False,11,planned_accelerator,16
4,O1,4,2,False,11,planned_accelerator,16
4,O2,4,2,False,11,planned_accelerator,16
4,O3,4,2,False,11,planned_accelerator,16
4,O0,4,2,False,23,planned_accelerator,16
4,O1,4,2,False,23,planned_accelerator,16
4,O2,4,2,False,23,planned_accelerator,16
4,O3,4,2,False,23,planned_accelerator,16
4,O0,4,2,False,37,planned_accelerator,16
4,O1,4,2,False,37,planned_accelerator,16
4,O2,4,2,False,37,planned_accelerator,16
4,O3,4,2,False,37,planned_accelerator,16
1,O0,1,2,False,11,planned_accelerator,32
1,O1,1,2,False,11,planned_accelerator,32
1,O2,1,2,False,11,planned_accelerator,32
1,O3,1,2,False,11,planned_accelerator,32
1,O0,1,2,False,23,planned_accelerator,32
1,O1,1,2,False,23,planned_accelerator,32
1,O2,1,2,False,23,planned_accelerator,32
1,O3,1,2,False,23,planned_accelerator,32
1,O0,1,2,False,37,planned_accelerator,32
1,O1,1,2,False,37,planned_accelerator,32
1,O2,1,2,False,37,planned_accelerator,32
1,O3,1,2,False,37,planned_accelerator,32
2,O0,1,2,False,11,planned_accelerator,32
2,O1,1,2,False,11,planned_accelerator,32
2,O2,1,2,False,11,planned_accelerator,32
2,O3,1,2,False,11,planned_accelerator,32
2,O0,1,2,False,23,planned_accelerator,32
2,O1,1,2,False,23,planned_accelerator,32
2,O2,1,2,False,23,planned_accelerator,32
2,O3,1,2,False,23,planned_accelerator,32
2,O0,1,2,False,37,planned_accelerator,32
2,O1,1,2,False,37,planned_accelerator,32
2,O2,1,2,False,37,planned_accelerator,32
2,O3,1,2,False,37,planned_accelerator,32
4,O0,1,2,False,11,planned_accelerator,32
4,O1,1,2,False,11,planned_accelerator,32
4,O2,1,2,False,11,planned_accelerator,32
4,O3,1,2,False,11,planned_accelerator,32
4,O0,1,2,False,23,planned_accelerator,32
4,O1,1,2,False,23,planned_accelerator,32
4,O2,1,2,False,23,planned_accelerator,32
4,O3,1,2,False,23,planned_accelerator,32
4,O0,1,2,False,37,planned_accelerator,32
4,O1,1,2,False,37,planned_accelerator,32
4,O2,1,2,False,37,planned_accelerator,32
4,O3,1,2,False,37,planned_accelerator,32
1,O0,2,2,False,11,planned_accelerator,32
1,O1,2,2,False,11,planned_accelerator,32
1,O2,2,2,False,11,planned_accelerator,32
1,O3,2,2,False,11,planned_accelerator,32
1,O0,2,2,False,23,planned_accelerator,32
1,O1,2,2,False,23,planned_accelerator,32
1,O2,2,2,False,23,planned_accelerator,32
1,O3,2,2,False,23,planned_accelerator,32
1,O0,2,2,False,37,planned_accelerator,32
1,O1,2,2,False,37,planned_accelerator,32
1,O2,2,2,False,37,planned_accelerator,32
1,O3,2,2,False,37,planned_accelerator,32
2,O0,2,2,False,11,planned_accelerator,32
2,O1,2,2,False,11,planned_accelerator,32
2,O2,2,2,False,11,planned_accelerator,32
2,O3,2,2,False,11,planned_accelerator,32
2,O0,2,2,False,23,planned_accelerator,32
2,O1,2,2,False,23,planned_accelerator,32
2,O2,2,2,False,23,planned_accelerator,32
2,O3,2,2,False,23,planned_accelerator,32
2,O0,2,2,False,37,planned_accelerator,32
2,O1,2,2,False,37,planned_accelerator,32
2,O2,2,2,False,37,planned_accelerator,32
2,O3,2,2,False,37,planned_accelerator,32
4,O0,2,2,False,11,planned_accelerator,32
4,O1,2,2,False,11,planned_accelerator,32
4,O2,2,2,False,11,planned_accelerator,32
4,O3,2,2,False,11,planned_accelerator,32
4,O0,2,2,False,23,planned_accelerator,32
4,O1,2,2,False,23,planned_accelerator,32
4,O2,2,2,False,23,planned_accelerator,32
4,O3,2,2,False,23,planned_accelerator,32
4,O0,2,2,False,37,planned_accelerator,32
4,O1,2,2,False,37,planned_accelerator,32
4,O2,2,2,False,37,planned_accelerator,32
4,O3,2,2,False,37,planned_accelerator,32
1,O0,4,2,False,11,planned_accelerator,32
1,O1,4,2,False,11,planned_accelerator,32
1,O2,4,2,False,11,planned_accelerator,32
1,O3,4,2,False,11,planned_accelerator,32
1,O0,4,2,False,23,planned_accelerator,32
1,O1,4,2,False,23,planned_accelerator,32
1,O2,4,2,False,23,planned_accelerator,32
1,O3,4,2,False,23,planned_accelerator,32
1,O0,4,2,False,37,planned_accelerator,32
1,O1,4,2,False,37,planned_accelerator,32
1,O2,4,2,False,37,planned_accelerator,32
1,O3,4,2,False,37,planned_accelerator,32
2,O0,4,2,False,11,planned_accelerator,32
2,O1,4,2,False,11,planned_accelerator,32
2,O2,4,2,False,11,planned_accelerator,32
2,O3,4,2,False,11,planned_accelerator,32
2,O0,4,2,False,23,planned_accelerator,32
2,O1,4,2,False,23,planned_accelerator,32
2,O2,4,2,False,23,planned_accelerator,32
2,O3,4,2,False,23,planned_accelerator,32
2,O0,4,2,False,37,planned_accelerator,32
2,O1,4,2,False,37,planned_accelerator,32
2,O2,4,2,False,37,planned_accelerator,32
2,O3,4,2,False,37,planned_accelerator,32
4,O0,4,2,False,11,planned_accelerator,32
4,O1,4,2,False,11,planned_accelerator,32
4,O2,4,2,False,11,planned_accelerator,32
4,O3,4,2,False,11,planned_accelerator,32
4,O0,4,2,False,23,planned_accelerator,32
4,O1,4,2,False,23,planned_accelerator,32
4,O2,4,2,False,23,planned_accelerator,32
4,O3,4,2,False,23,planned_accelerator,32
4,O0,4,2,False,37,planned_accelerator,32
4,O1,4,2,False,37,planned_accelerator,32
4,O2,4,2,False,37,planned_accelerator,32
4,O3,4,2,False,37,planned_accelerator,32
1,O0,1,2,False,11,planned_accelerator,64
1,O1,1,2,False,11,planned_accelerator,64
1,O2,1,2,False,11,planned_accelerator,64
1,O3,1,2,False,11,planned_accelerator,64
1,O0,1,2,False,23,planned_accelerator,64
1,O1,1,2,False,23,planned_accelerator,64
1,O2,1,2,False,23,planned_accelerator,64
1,O3,1,2,False,23,planned_accelerator,64
1,O0,1,2,False,37,planned_accelerator,64
1,O1,1,2,False,37,planned_accelerator,64
1,O2,1,2,False,37,planned_accelerator,64
1,O3,1,2,False,37,planned_accelerator,64
2,O0,1,2,False,11,planned_accelerator,64
2,O1,1,2,False,11,planned_accelerator,64
2,O2,1,2,False,11,planned_accelerator,64
2,O3,1,2,False,11,planned_accelerator,64
2,O0,1,2,False,23,planned_accelerator,64
2,O1,1,2,False,23,planned_accelerator,64
2,O2,1,2,False,23,planned_accelerator,64
2,O3,1,2,False,23,planned_accelerator,64
2,O0,1,2,False,37,planned_accelerator,64
2,O1,1,2,False,37,planned_accelerator,64
2,O2,1,2,False,37,planned_accelerator,64
2,O3,1,2,False,37,planned_accelerator,64
4,O0,1,2,False,11,planned_accelerator,64
4,O1,1,2,False,11,planned_accelerator,64
4,O2,1,2,False,11,planned_accelerator,64
4,O3,1,2,False,11,planned_accelerator,64
4,O0,1,2,False,23,planned_accelerator,64
4,O1,1,2,False,23,planned_accelerator,64
4,O2,1,2,False,23,planned_accelerator,64
4,O3,1,2,False,23,planned_accelerator,64
4,O0,1,2,False,37,planned_accelerator,64
4,O1,1,2,False,37,planned_accelerator,64
4,O2,1,2,False,37,planned_accelerator,64
4,O3,1,2,False,37,planned_accelerator,64
1,O0,2,2,False,11,planned_accelerator,64
1,O1,2,2,False,11,planned_accelerator,64
1,O2,2,2,False,11,planned_accelerator,64
1,O3,2,2,False,11,planned_accelerator,64
1,O0,2,2,False,23,planned_accelerator,64
1,O1,2,2,False,23,planned_accelerator,64
1,O2,2,2,False,23,planned_accelerator,64
1,O3,2,2,False,23,planned_accelerator,64
1,O0,2,2,False,37,planned_accelerator,64
1,O1,2,2,False,37,planned_accelerator,64
1,O2,2,2,False,37,planned_accelerator,64
1,O3,2,2,False,37,planned_accelerator,64
2,O0,2,2,False,11,planned_accelerator,64
2,O1,2,2,False,11,planned_accelerator,64
2,O2,2,2,False,11,planned_accelerator,64
2,O3,2,2,False,11,planned_accelerator,64
2,O0,2,2,False,23,planned_accelerator,64
2,O1,2,2,False,23,planned_accelerator,64
2,O2,2,2,False,23,planned_accelerator,64
2,O3,2,2,False,23,planned_accelerator,64
2,O0,2,2,False,37,planned_accelerator,64
2,O1,2,2,False,37,planned_accelerator,64
2,O2,2,2,False,37,planned_accelerator,64
2,O3,2,2,False,37,planned_accelerator,64
4,O0,2,2,False,11,planned_accelerator,64
4,O1,2,2,False,11,planned_accelerator,64
4,O2,2,2,False,11,planned_accelerator,64
4,O3,2,2,False,11,planned_accelerator,64
4,O0,2,2,False,23,planned_accelerator,64
4,O1,2,2,False,23,planned_accelerator,64
