condition,correct,example_id,margin,prediction,rank,seed,target
fact_mismatch,1,257,6.704660415649414,6,1,11,6
rule_lhs_mismatch,1,258,12.495941162109375,6,1,11,6
consequent_swap,0,259,-13.248116493225098,6,70,11,98
entailed,0,260,-14.28599739074707,36,79,11,90
fact_mismatch,1,261,13.89664363861084,6,1,11,6
rule_lhs_mismatch,1,262,15.749845504760742,6,1,11,6
consequent_swap,0,263,-1.077394962310791,70,3,11,76
entailed,0,264,-19.011125564575195,6,72,11,87
fact_mismatch,1,265,15.631715774536133,6,1,11,6
rule_lhs_mismatch,1,266,15.123383522033691,6,1,11,6
consequent_swap,0,267,-24.174518585205078,6,40,11,75
entailed,0,268,-31.136682510375977,6,67,11,80
fact_mismatch,1,269,13.380577087402344,6,1,11,6
rule_lhs_mismatch,1,270,15.629551887512207,6,1,11,6
consequent_swap,0,271,-0.46657371520996094,6,2,11,80
entailed,0,272,-36.17245101928711,6,99,11,85
fact_mismatch,1,273,13.199670791625977,6,1,11,6
rule_lhs_mismatch,1,274,15.290485382080078,6,1,11,6
consequent_swap,0,275,-12.612889289855957,39,70,11,102
entailed,0,276,-1.077394962310791,70,3,11,76
fact_mismatch,1,277,16.460269927978516,6,1,11,6
rule_lhs_mismatch,1,278,16.521392822265625,6,1,11,6
consequent_swap,0,279,-21.21280288696289,6,94,11,85
entailed,0,280,-25.335065841674805,6,45,11,100
fact_mismatch,1,281,15.92032241821289,6,1,11,6
rule_lhs_mismatch,1,282,8.365948677062988,6,1,11,6
consequent_swap,0,283,-5.660110950469971,6,16,11,92
entailed,0,284,-8.160919189453125,48,35,11,79
fact_mismatch,1,285,14.403039932250977,6,1,11,6
rule_lhs_mismatch,1,286,4.338137626647949,6,1,11,6
consequent_swap,0,287,-2.5461063385009766,14,5,11,81
entailed,0,288,-9.238972663879395,36,53,11,91
fact_mismatch,1,289,18.49349594116211,6,1,11,6
rule_lhs_mismatch,1,290,16.979753494262695,6,1,11,6
consequent_swap,0,291,-29.92723846435547,6,70,11,91
entailed,0,292,-9.345770835876465,6,6,11,101
fact_mismatch,1,293,12.852489471435547,6,1,11,6
rule_lhs_mismatch,1,294,10.54893970489502,6,1,11,6
consequent_swap,0,295,-3.1567230224609375,6,12,11,94
entailed,0,296,-14.066073417663574,6,55,11,95
fact_mismatch,1,297,12.870133399963379,6,1,11,6
rule_lhs_mismatch,1,298,13.278522491455078,6,1,11,6
consequent_swap,0,299,-13.958381652832031,6,72,11,89
entailed,0,300,-25.284595489501953,6,18,11,76
fact_mismatch,1,301,16.31688690185547,6,1,11,6
rule_lhs_mismatch,1,302,16.13274383544922,6,1,11,6
consequent_swap,0,303,-4.283661365509033,6,14,11,83
entailed,0,304,-11.543109893798828,6,10,11,78
fact_mismatch,1,305,14.957998275756836,6,1,11,6
rule_lhs_mismatch,1,306,17.11562728881836,6,1,11,6
consequent_swap,1,307,0.12308406829833984,73,1,11,73
entailed,0,308,-18.902206420898438,6,75,11,102
fact_mismatch,1,309,16.385238647460938,6,1,11,6
rule_lhs_mismatch,1,310,15.497568130493164,6,1,11,6
consequent_swap,0,311,-24.757118225097656,6,44,11,75
entailed,0,312,-25.380422592163086,6,43,11,94
fact_mismatch,1,313,13.582374572753906,6,1,11,6
rule_lhs_mismatch,1,314,9.538248062133789,6,1,11,6
consequent_swap,0,315,-4.001378059387207,6,15,11,83
entailed,0,316,-14.113633155822754,6,77,11,90
fact_mismatch,1,317,16.070560455322266,6,1,11,6
rule_lhs_mismatch,0,318,-0.12160491943359375,36,2,11,6
consequent_swap,0,319,-23.071622848510742,6,47,11,91
entailed,0,320,-8.586088180541992,6,48,11,74
fact_mismatch,1,321,13.260037422180176,6,1,11,6
rule_lhs_mismatch,1,322,16.046159744262695,6,1,11,6
consequent_swap,0,323,-19.72060203552246,6,96,11,85
entailed,0,324,-6.66093635559082,6,2,11,73
fact_mismatch,1,325,16.96417999267578,6,1,11,6
rule_lhs_mismatch,1,326,12.67936897277832,6,1,11,6
consequent_swap,0,327,-1.4189338684082031,6,3,11,76
entailed,0,328,-20.964176177978516,6,53,11,93
fact_mismatch,1,329,13.733968734741211,6,1,11,6
rule_lhs_mismatch,1,330,16.60581398010254,6,1,11,6
consequent_swap,0,331,-7.219493865966797,6,9,11,93
entailed,0,332,-2.5053930282592773,53,5,11,101
fact_mismatch,1,333,17.7379207611084,6,1,11,6
rule_lhs_mismatch,1,334,0.5810127258300781,6,1,11,6
consequent_swap,0,335,-17.13198471069336,6,72,11,87
entailed,0,336,-15.3954439163208,6,54,11,71
fact_mismatch,1,337,14.066858291625977,6,1,11,6
rule_lhs_mismatch,1,338,12.52386474609375,6,1,11,6
consequent_swap,0,339,-40.612693786621094,6,96,11,84
entailed,0,340,-6.709964275360107,6,20,11,77
fact_mismatch,1,341,14.374266624450684,6,1,11,6
rule_lhs_mismatch,1,342,14.689023971557617,6,1,11,6
consequent_swap,0,343,-5.453247547149658,42,12,11,77
entailed,0,344,-3.658794403076172,53,6,11,101
fact_mismatch,1,345,9.075371742248535,6,1,11,6
rule_lhs_mismatch,1,346,12.833100318908691,6,1,11,6
consequent_swap,0,347,-29.87788963317871,6,76,11,96
entailed,0,348,-6.354359149932861,36,35,11,95
fact_mismatch,1,349,17.547542572021484,6,1,11,6
rule_lhs_mismatch,1,350,12.692620277404785,6,1,11,6
consequent_swap,0,351,-14.739013671875,6,69,11,98
entailed,0,352,-1.287083625793457,53,3,11,101
fact_mismatch,1,353,14.17039966583252,6,1,11,6
rule_lhs_mismatch,1,354,16.348098754882812,6,1,11,6
consequent_swap,0,355,-6.028594493865967,6,32,11,95
entailed,0,356,-23.371028900146484,6,22,11,78
fact_mismatch,1,357,16.507976531982422,6,1,11,6
rule_lhs_mismatch,1,358,16.097719192504883,6,1,11,6
consequent_swap,0,359,-33.9194221496582,6,80,11,90
entailed,0,360,-5.283804893493652,42,9,11,77
fact_mismatch,1,361,12.323485374450684,6,1,11,6
rule_lhs_mismatch,1,362,13.589706420898438,6,1,11,6
consequent_swap,0,363,-16.692237854003906,6,67,11,87
entailed,0,364,-29.44590950012207,6,59,11,93
fact_mismatch,1,365,15.189167022705078,6,1,11,6
rule_lhs_mismatch,1,366,16.612220764160156,6,1,11,6
consequent_swap,0,367,-7.707155704498291,33,38,11,79
entailed,0,368,-20.568603515625,6,42,11,72
fact_mismatch,1,369,13.573514938354492,6,1,11,6
rule_lhs_mismatch,1,370,13.843915939331055,6,1,11,6
consequent_swap,0,371,-4.071164131164551,40,14,11,83
entailed,0,372,-35.071922302246094,6,77,11,87
fact_mismatch,1,373,14.685906410217285,6,1,11,6
rule_lhs_mismatch,1,374,14.935951232910156,6,1,11,6
consequent_swap,0,375,-7.42576265335083,33,39,11,79
entailed,0,376,-14.856597900390625,6,83,11,84
fact_mismatch,1,377,16.870840072631836,6,1,11,6
rule_lhs_mismatch,1,378,13.620317459106445,6,1,11,6
consequent_swap,0,379,-6.884438514709473,26,29,11,95
entailed,0,380,-7.745541572570801,33,41,11,79
fact_mismatch,1,381,13.633354187011719,6,1,11,6
rule_lhs_mismatch,1,382,14.402372360229492,6,1,11,6
consequent_swap,1,383,0.4304695129394531,73,1,11,73
entailed,0,384,-3.757781505584717,40,15,11,83
fact_mismatch,1,385,14.626495361328125,6,1,11,6
rule_lhs_mismatch,1,386,13.176031112670898,6,1,11,6
consequent_swap,0,387,-8.66419506072998,6,46,11,74
entailed,0,388,-5.889718532562256,39,17,11,97
fact_mismatch,1,389,14.600409507751465,6,1,11,6
rule_lhs_mismatch,1,390,13.12263011932373,6,1,11,6
consequent_swap,0,391,-29.07160186767578,6,53,11,100
entailed,0,392,-10.722834587097168,6,67,11,89
fact_mismatch,1,393,14.70979118347168,6,1,11,6
rule_lhs_mismatch,1,394,14.116561889648438,6,1,11,6
consequent_swap,0,395,-2.0798540115356445,6,9,11,94
entailed,0,396,-5.202225208282471,39,13,11,97
fact_mismatch,1,397,14.011240005493164,6,1,11,6
rule_lhs_mismatch,1,398,14.898478507995605,6,1,11,6
consequent_swap,0,399,-8.350883483886719,48,36,11,79
entailed,0,400,-14.458378791809082,6,80,11,84
fact_mismatch,1,401,17.53316307067871,6,1,11,6
rule_lhs_mismatch,1,402,14.802391052246094,6,1,11,6
consequent_swap,0,403,-24.769041061401367,6,31,11,77
entailed,0,404,-8.086222648620605,48,38,11,79
fact_mismatch,1,405,15.470864295959473,6,1,11,6
rule_lhs_mismatch,1,406,14.556591033935547,6,1,11,6
consequent_swap,0,407,-14.346153259277344,6,55,11,91
entailed,0,408,-1.6368865966796875,13,2,11,78
fact_mismatch,1,409,14.108604431152344,6,1,11,6
rule_lhs_mismatch,1,410,17.86277961730957,6,1,11,6
consequent_swap,0,411,-0.4952688217163086,36,3,11,100
entailed,0,412,-11.745686531066895,6,65,11,98
fact_mismatch,1,413,12.482181549072266,6,1,11,6
rule_lhs_mismatch,1,414,15.63971996307373,6,1,11,6
consequent_swap,0,415,-10.396261215209961,6,40,11,72
entailed,0,416,-12.269186019897461,6,64,11,89
fact_mismatch,1,417,13.931337356567383,6,1,11,6
rule_lhs_mismatch,1,418,13.584456443786621,6,1,11,6
consequent_swap,0,419,-9.537755012512207,6,34,11,72
entailed,0,420,-20.568603515625,6,42,11,72
fact_mismatch,1,421,13.172723770141602,6,1,11,6
rule_lhs_mismatch,1,422,17.895408630371094,6,1,11,6
consequent_swap,0,423,-13.010876655578613,6,68,11,75
entailed,0,424,-1.5013055801391602,6,2,11,88
fact_mismatch,1,425,14.363321304321289,6,1,11,6
rule_lhs_mismatch,1,426,14.439437866210938,6,1,11,6
consequent_swap,1,427,1.3323135375976562,99,1,11,99
entailed,0,428,-0.9479341506958008,6,2,11,88
fact_mismatch,1,429,13.311577796936035,6,1,11,6
rule_lhs_mismatch,1,430,16.72930335998535,6,1,11,6
consequent_swap,0,431,-2.560378074645996,36,3,11,93
entailed,0,432,-6.929324150085449,6,20,11,86
fact_mismatch,1,433,16.520111083984375,6,1,11,6
rule_lhs_mismatch,1,434,15.026660919189453,6,1,11,6
consequent_swap,0,435,-13.11147403717041,6,74,11,90
entailed,0,436,-8.569314956665039,6,37,11,91
fact_mismatch,1,437,13.544439315795898,6,1,11,6
rule_lhs_mismatch,1,438,15.025432586669922,6,1,11,6
consequent_swap,0,439,-11.52253532409668,39,57,11,102
entailed,0,440,-28.53774642944336,6,75,11,92
fact_mismatch,1,441,14.956250190734863,6,1,11,6
rule_lhs_mismatch,1,442,5.404970169067383,6,1,11,6
consequent_swap,0,443,-22.730167388916016,6,98,11,85
entailed,0,444,-12.341487884521484,6,47,11,72
fact_mismatch,1,445,16.886213302612305,6,1,11,6
rule_lhs_mismatch,1,446,15.81729793548584,6,1,11,6
consequent_swap,0,447,-2.5053930282592773,53,5,11,101
entailed,0,448,-2.054804801940918,36,3,11,93
fact_mismatch,1,449,17.0635986328125,6,1,11,6
rule_lhs_mismatch,1,450,17.352766036987305,6,1,11,6
consequent_swap,0,451,-21.041942596435547,6,19,11,78
entailed,0,452,-1.1715292930603027,6,3,11,76
fact_mismatch,1,453,13.871583938598633,6,1,11,6
rule_lhs_mismatch,1,454,14.292304039001465,6,1,11,6
consequent_swap,0,455,-30.788074493408203,6,70,11,72
entailed,0,456,-2.2003097534179688,14,5,11,81
fact_mismatch,1,457,14.302834510803223,6,1,11,6
rule_lhs_mismatch,1,458,15.691845893859863,6,1,11,6
consequent_swap,0,459,-9.83183479309082,6,38,11,91
entailed,0,460,-0.06949901580810547,47,2,11,100
fact_mismatch,1,461,16.879798889160156,6,1,11,6
rule_lhs_mismatch,1,462,16.90280532836914,6,1,11,6
consequent_swap,1,463,0.4671478271484375,73,1,11,73
entailed,0,464,-6.045168876647949,39,18,11,97
fact_mismatch,1,465,12.998597145080566,6,1,11,6
rule_lhs_mismatch,1,466,15.852109909057617,6,1,11,6
consequent_swap,0,467,-2.3347692489624023,6,5,11,81
entailed,0,468,-2.3795166015625,53,4,11,101
fact_mismatch,1,469,14.84885025024414,6,1,11,6
rule_lhs_mismatch,1,470,13.651168823242188,6,1,11,6
consequent_swap,0,471,-2.2385010719299316,53,4,11,101
entailed,0,472,-38.09792709350586,6,94,11,84
fact_mismatch,1,473,16.417694091796875,6,1,11,6
rule_lhs_mismatch,1,474,12.790939331054688,6,1,11,6
consequent_swap,0,475,-16.642602920532227,6,9,11,94
entailed,0,476,-12.472225189208984,6,60,11,75
fact_mismatch,1,477,4.201229095458984,6,1,11,6
rule_lhs_mismatch,1,478,13.992217063903809,6,1,11,6
consequent_swap,0,479,-3.9359426498413086,6,6,11,93
entailed,0,480,-17.17279815673828,6,67,11,87
fact_mismatch,1,481,15.12846851348877,6,1,11,6
rule_lhs_mismatch,1,482,12.896045684814453,6,1,11,6
consequent_swap,0,483,-8.848023414611816,6,12,11,80
entailed,0,484,-7.072895050048828,35,15,11,86
fact_mismatch,1,485,16.658559799194336,6,1,11,6
rule_lhs_mismatch,1,486,13.990998268127441,6,1,11,6
consequent_swap,0,487,-2.9560022354125977,6,7,11,94
entailed,0,488,-12.407537460327148,39,68,11,102
fact_mismatch,1,489,12.897398948669434,6,1,11,6
rule_lhs_mismatch,1,490,17.339391708374023,6,1,11,6
consequent_swap,0,491,-16.329376220703125,6,72,11,87
