family,heads,layers,seed,status,training_budget,width
proposition,8,1,11,planned,2,128
proposition,8,1,23,planned,2,128
proposition,8,1,37,planned,2,128
proposition,8,1,11,planned,4,128
proposition,8,1,23,planned,4,128
proposition,8,1,37,planned,4,128
proposition,1,1,11,planned,1,256
proposition,1,1,23,planned,1,256
proposition,1,1,37,planned,1,256
proposition,1,1,11,planned,2,256
proposition,1,1,23,planned,2,256
proposition,1,1,37,planned,2,256
proposition,1,1,11,planned,4,256
proposition,1,1,23,planned,4,256
proposition,1,1,37,planned,4,256
proposition,2,1,11,planned,1,256
proposition,2,1,23,planned,1,256
proposition,2,1,37,planned,1,256
proposition,2,1,11,planned,2,256
proposition,2,1,23,planned,2,256
proposition,2,1,37,planned,2,256
proposition,2,1,11,planned,4,256
proposition,2,1,23,planned,4,256
proposition,2,1,37,planned,4,256
proposition,4,1,11,planned,1,256
proposition,4,1,23,planned,1,256
proposition,4,1,37,planned,1,256
proposition,4,1,11,planned,2,256
proposition,4,1,23,planned,2,256
proposition,4,1,37,planned,2,256
proposition,4,1,11,planned,4,256
proposition,4,1,23,planned,4,256
proposition,4,1,37,planned,4,256
proposition,8,1,11,planned,1,256
proposition,8,1,23,planned,1,256
proposition,8,1,37,planned,1,256
proposition,8,1,11,planned,2,256
proposition,8,1,23,planned,2,256
proposition,8,1,37,planned,2,256
proposition,8,1,11,planned,4,256
proposition,8,1,23,planned,4,256
proposition,8,1,37,planned,4,256
proposition,1,2,11,planned,1,16
proposition,1,2,23,planned,1,16
proposition,1,2,37,planned,1,16
proposition,1,2,11,planned,2,16
proposition,1,2,23,planned,2,16
proposition,1,2,37,planned,2,16
proposition,1,2,11,planned,4,16
proposition,1,2,23,planned,4,16
proposition,1,2,37,planned,4,16
proposition,2,2,11,planned,1,16
proposition,2,2,23,planned,1,16
proposition,2,2,37,planned,1,16
proposition,2,2,11,planned,2,16
proposition,2,2,23,planned,2,16
proposition,2,2,37,planned,2,16
proposition,2,2,11,planned,4,16
proposition,2,2,23,planned,4,16
proposition,2,2,37,planned,4,16
proposition,4,2,11,planned,1,16
proposition,4,2,23,planned,1,16
proposition,4,2,37,planned,1,16
proposition,4,2,11,planned,2,16
proposition,4,2,23,planned,2,16
proposition,4,2,37,planned,2,16
proposition,4,2,11,planned,4,16
proposition,4,2,23,planned,4,16
proposition,4,2,37,planned,4,16
proposition,8,2,11,planned,1,16
proposition,8,2,23,planned,1,16
proposition,8,2,37,planned,1,16
proposition,8,2,11,planned,2,16
proposition,8,2,23,planned,2,16
proposition,8,2,37,planned,2,16
proposition,8,2,11,planned,4,16
proposition,8,2,23,planned,4,16
proposition,8,2,37,planned,4,16
proposition,1,2,11,planned,1,32
proposition,1,2,23,planned,1,32
proposition,1,2,37,planned,1,32
proposition,1,2,11,planned,2,32
proposition,1,2,23,planned,2,32
proposition,1,2,37,planned,2,32
proposition,1,2,11,planned,4,32
proposition,1,2,23,planned,4,32
proposition,1,2,37,planned,4,32
proposition,2,2,11,planned,1,32
proposition,2,2,23,planned,1,32
proposition,2,2,37,planned,1,32
proposition,2,2,11,planned,2,32
proposition,2,2,23,planned,2,32
proposition,2,2,37,planned,2,32
proposition,2,2,11,planned,4,32
proposition,2,2,23,planned,4,32
proposition,2,2,37,planned,4,32
proposition,4,2,11,planned,1,32
proposition,4,2,23,planned,1,32
proposition,4,2,37,planned,1,32
proposition,4,2,11,planned,2,32
proposition,4,2,23,planned,2,32
proposition,4,2,37,planned,2,32
proposition,4,2,11,planned,4,32
proposition,4,2,23,planned,4,32
proposition,4,2,37,planned,4,32
proposition,8,2,11,planned,1,32
proposition,8,2,23,planned,1,32
proposition,8,2,37,planned,1,32
proposition,8,2,11,planned,2,32
proposition,8,2,23,planned,2,32
proposition,8,2,37,planned,2,32
proposition,8,2,11,planned,4,32
proposition,8,2,23,planned,4,32
proposition,8,2,37,planned,4,32
proposition,1,2,11,planned,1,64
proposition,1,2,23,planned,1,64
proposition,1,2,37,planned,1,64
proposition,1,2,11,planned,2,64
proposition,1,2,23,planned,2,64
proposition,1,2,37,planned,2,64
proposition,1,2,11,planned,4,64
proposition,1,2,23,planned,4,64
proposition,1,2,37,planned,4,64
proposition,2,2,11,planned,1,64
proposition,2,2,23,planned,1,64
proposition,2,2,37,planned,1,64
proposition,2,2,11,planned,2,64
proposition,2,2,23,planned,2,64
proposition,2,2,37,planned,2,64
proposition,2,2,11,planned,4,64
proposition,2,2,23,planned,4,64
proposition,2,2,37,planned,4,64
proposition,4,2,11,planned,1,64
proposition,4,2,23,planned,1,64
proposition,4,2,37,planned,1,64
proposition,4,2,11,planned,2,64
proposition,4,2,23,planned,2,64
proposition,4,2,37,planned,2,64
proposition,4,2,11,planned,4,64
proposition,4,2,23,planned,4,64
proposition,4,2,37,planned,4,64
proposition,8,2,11,planned,1,64
proposition,8,2,23,planned,1,64
proposition,8,2,37,planned,1,64
proposition,8,2,11,planned,2,64
proposition,8,2,23,planned,2,64
proposition,8,2,37,planned,2,64
proposition,8,2,11,planned,4,64
proposition,8,2,23,planned,4,64
proposition,8,2,37,planned,4,64
proposition,1,2,11,planned,1,128
proposition,1,2,23,planned,1,128
proposition,1,2,37,planned,1,128
proposition,1,2,11,planned,2,128
proposition,1,2,23,planned,2,128
proposition,1,2,37,planned,2,128
proposition,1,2,11,planned,4,128
proposition,1,2,23,planned,4,128
proposition,1,2,37,planned,4,128
proposition,2,2,11,planned,1,128
proposition,2,2,23,planned,1,128
proposition,2,2,37,planned,1,128
proposition,2,2,11,planned,2,128
proposition,2,2,23,planned,2,128
proposition,2,2,37,planned,2,128
proposition,2,2,11,planned,4,128
proposition,2,2,23,planned,4,128
proposition,2,2,37,planned,4,128
proposition,4,2,11,planned,1,128
proposition,4,2,23,planned,1,128
proposition,4,2,37,planned,1,128
proposition,4,2,11,planned,2,128
proposition,4,2,23,planned,2,128
proposition,4,2,37,planned,2,128
proposition,4,2,11,planned,4,128
proposition,4,2,23,planned,4,128
proposition,4,2,37,planned,4,128
proposition,8,2,11,planned,1,128
proposition,8,2,23,planned,1,128
proposition,8,2,37,planned,1,128
proposition,8,2,11,planned,2,128
proposition,8,2,23,planned,2,128
proposition,8,2,37,planned,2,128
proposition,8,2,11,planned,4,128
proposition,8,2,23,planned,4,128
proposition,8,2,37,planned,4,128
proposition,1,2,11,planned,1,256
proposition,1,2,23,planned,1,256
proposition,1,2,37,planned,1,256
proposition,1,2,11,planned,2,256
proposition,1,2,23,planned,2,256
proposition,1,2,37,planned,2,256
proposition,1,2,11,planned,4,256
proposition,1,2,23,planned,4,256
proposition,1,2,37,planned,4,256
proposition,2,2,11,planned,1,256
proposition,2,2,23,planned,1,256
proposition,2,2,37,planned,1,256
proposition,2,2,11,planned,2,256
proposition,2,2,23,planned,2,256
proposition,2,2,37,planned,2,256
proposition,2,2,11,planned,4,256
proposition,2,2,23,planned,4,256
proposition,2,2,37,planned,4,256
proposition,4,2,11,planned,1,256
proposition,4,2,23,planned,1,256
proposition,4,2,37,planned,1,256
proposition,4,2,11,planned,2,256
proposition,4,2,23,planned,2,256
proposition,4,2,37,planned,2,256
proposition,4,2,11,planned,4,256
proposition,4,2,23,planned,4,256
proposition,4,2,37,planned,4,256
proposition,8,2,11,planned,1,256
proposition,8,2,23,planned,1,256
proposition,8,2,37,planned,1,256
proposition,8,2,11,planned,2,256
proposition,8,2,23,planned,2,256
proposition,8,2,37,planned,2,256
proposition,8,2,11,planned,4,256
proposition,8,2,23,planned,4,256
proposition,8,2,37,planned,4,256
proposition,1,4,11,planned,1,16
proposition,1,4,23,planned,1,16
proposition,1,4,37,planned,1,16
proposition,1,4,11,planned,2,16
proposition,1,4,23,planned,2,16
proposition,1,4,37,planned,2,16
proposition,1,4,11,planned,4,16
proposition,1,4,23,planned,4,16
proposition,1,4,37,planned,4,16
proposition,2,4,11,planned,1,16
proposition,2,4,23,planned,1,16
proposition,2,4,37,planned,1,16
proposition,2,4,11,planned,2,16
proposition,2,4,23,planned,2,16
proposition,2,4,37,planned,2,16
proposition,2,4,11,planned,4,16
proposition,2,4,23,planned,4,16
proposition,2,4,37,planned,4,16
proposition,4,4,11,planned,1,16
proposition,4,4,23,planned,1,16
proposition,4,4,37,planned,1,16
proposition,4,4,11,planned,2,16
proposition,4,4,23,planned,2,16
proposition,4,4,37,planned,2,16
proposition,4,4,11,planned,4,16
proposition,4,4,23,planned,4,16
proposition,4,4,37,planned,4,16
proposition,8,4,11,planned,1,16
proposition,8,4,23,planned,1,16
proposition,8,4,37,planned,1,16
proposition,8,4,11,planned,2,16
proposition,8,4,23,planned,2,16
proposition,8,4,37,planned,2,16
proposition,8,4,11,planned,4,16
proposition,8,4,23,planned,4,16
proposition,8,4,37,planned,4,16
proposition,1,4,11,planned,1,32
proposition,1,4,23,planned,1,32
proposition,1,4,37,planned,1,32
proposition,1,4,11,planned,2,32
proposition,1,4,23,planned,2,32
proposition,1,4,37,planned,2,32
proposition,1,4,11,planned,4,32
proposition,1,4,23,planned,4,32
proposition,1,4,37,planned,4,32
proposition,2,4,11,planned,1,32
proposition,2,4,23,planned,1,32
proposition,2,4,37,planned,1,32
proposition,2,4,11,planned,2,32
proposition,2,4,23,planned,2,32
proposition,2,4,37,planned,2,32
proposition,2,4,11,planned,4,32
proposition,2,4,23,planned,4,32
proposition,2,4,37,planned,4,32
proposition,4,4,11,planned,1,32
proposition,4,4,23,planned,1,32
proposition,4,4,37,planned,1,32
proposition,4,4,11,planned,2,32
proposition,4,4,23,planned,2,32
proposition,4,4,37,planned,2,32
proposition,4,4,11,planned,4,32
proposition,4,4,23,planned,4,32
proposition,4,4,37,planned,4,32
proposition,8,4,11,planned,1,32
proposition,8,4,23,planned,1,32
proposition,8,4,37,planned,1,32
proposition,8,4,11,planned,2,32
proposition,8,4,23,planned,2,32
proposition,8,4,37,planned,2,32
proposition,8,4,11,planned,4,32
proposition,8,4,23,planned,4,32
proposition,8,4,37,planned,4,32
proposition,1,4,11,planned,1,64
proposition,1,4,23,planned,1,64
proposition,1,4,37,planned,1,64
proposition,1,4,11,planned,2,64
proposition,1,4,23,planned,2,64
proposition,1,4,37,planned,2,64
proposition,1,4,11,planned,4,64
proposition,1,4,23,planned,4,64
proposition,1,4,37,planned,4,64
proposition,2,4,11,planned,1,64
proposition,2,4,23,planned,1,64
proposition,2,4,37,planned,1,64
proposition,2,4,11,planned,2,64
proposition,2,4,23,planned,2,64
proposition,2,4,37,planned,2,64
proposition,2,4,11,planned,4,64
proposition,2,4,23,planned,4,64
proposition,2,4,37,planned,4,64
proposition,4,4,11,planned,1,64
proposition,4,4,23,planned,1,64
proposition,4,4,37,planned,1,64
proposition,4,4,11,planned,2,64
proposition,4,4,23,planned,2,64
proposition,4,4,37,planned,2,64
proposition,4,4,11,planned,4,64
proposition,4,4,23,planned,4,64
proposition,4,4,37,planned,4,64
proposition,8,4,11,planned,1,64
proposition,8,4,23,planned,1,64
proposition,8,4,37,planned,1,64
proposition,8,4,11,planned,2,64
proposition,8,4,23,planned,2,64
proposition,8,4,37,planned,2,64
proposition,8,4,11,planned,4,64
proposition,8,4,23,planned,4,64
proposition,8,4,37,planned,4,64
proposition,1,4,11,planned,1,128
proposition,1,4,23,planned,1,128
proposition,1,4,37,planned,1,128
proposition,1,4,11,planned,2,128
proposition,1,4,23,planned,2,128
proposition,1,4,37,planned,2,128
proposition,1,4,11,planned,4,128
proposition,1,4,23,planned,4,128
proposition,1,4,37,planned,4,128
proposition,2,4,11,planned,1,128
proposition,2,4,23,planned,1,128
proposition,2,4,37,planned,1,128
proposition,2,4,11,planned,2,128
proposition,2,4,23,planned,2,128
proposition,2,4,37,planned,2,128
proposition,2,4,11,planned,4,128
proposition,2,4,23,planned,4,128
proposition,2,4,37,planned,4,128
proposition,4,4,11,planned,1,128
proposition,4,4,23,planned,1,128
proposition,4,4,37,planned,1,128
proposition,4,4,11,planned,2,128
proposition,4,4,23,planned,2,128
proposition,4,4,37,planned,2,128
proposition,4,4,11,planned,4,128
proposition,4,4,23,planned,4,128
proposition,4,4,37,planned,4,128
proposition,8,4,11,planned,1,128
proposition,8,4,23,planned,1,128
proposition,8,4,37,planned,1,128
proposition,8,4,11,planned,2,128
proposition,8,4,23,planned,2,128
proposition,8,4,37,planned,2,128
proposition,8,4,11,planned,4,128
proposition,8,4,23,planned,4,128
proposition,8,4,37,planned,4,128
proposition,1,4,11,planned,1,256
proposition,1,4,23,planned,1,256
proposition,1,4,37,planned,1,256
proposition,1,4,11,planned,2,256
proposition,1,4,23,planned,2,256
proposition,1,4,37,planned,2,256
proposition,1,4,11,planned,4,256
proposition,1,4,23,planned,4,256
proposition,1,4,37,planned,4,256
proposition,2,4,11,planned,1,256
proposition,2,4,23,planned,1,256
proposition,2,4,37,planned,1,256
proposition,2,4,11,planned,2,256
proposition,2,4,23,planned,2,256
proposition,2,4,37,planned,2,256
proposition,2,4,11,planned,4,256
proposition,2,4,23,planned,4,256
proposition,2,4,37,planned,4,256
proposition,4,4,11,planned,1,256
proposition,4,4,23,planned,1,256
proposition,4,4,37,planned,1,256
proposition,4,4,11,planned,2,256
proposition,4,4,23,planned,2,256
proposition,4,4,37,planned,2,256
proposition,4,4,11,planned,4,256
proposition,4,4,23,planned,4,256
proposition,4,4,37,planned,4,256
proposition,8,4,11,planned,1,256
proposition,8,4,23,planned,1,256
proposition,8,4,37,planned,1,256
proposition,8,4,11,planned,2,256
proposition,8,4,23,planned,2,256
proposition,8,4,37,planned,2,256
proposition,8,4,11,planned,4,256
proposition,8,4,23,planned,4,256
proposition,8,4,37,planned,4,256
proposition,1,6,11,planned,1,16
proposition,1,6,23,planned,1,16
proposition,1,6,37,planned,1,16
proposition,1,6,11,planned,2,16
proposition,1,6,23,planned,2,16
proposition,1,6,37,planned,2,16
proposition,1,6,11,planned,4,16
proposition,1,6,23,planned,4,16
proposition,1,6,37,planned,4,16
proposition,2,6,11,planned,1,16
proposition,2,6,23,planned,1,16
proposition,2,6,37,planned,1,16
proposition,2,6,11,planned,2,16
proposition,2,6,23,planned,2,16
proposition,2,6,37,planned,2,16
proposition,2,6,11,planned,4,16
proposition,2,6,23,planned,4,16
proposition,2,6,37,planned,4,16
proposition,4,6,11,planned,1,16
proposition,4,6,23,planned,1,16
proposition,4,6,37,planned,1,16
proposition,4,6,11,planned,2,16
proposition,4,6,23,planned,2,16
proposition,4,6,37,planned,2,16
proposition,4,6,11,planned,4,16
proposition,4,6,23,planned,4,16
proposition,4,6,37,planned,4,16
proposition,8,6,11,planned,1,16
proposition,8,6,23,planned,1,16
proposition,8,6,37,planned,1,16
proposition,8,6,11,planned,2,16
proposition,8,6,23,planned,2,16
proposition,8,6,37,planned,2,16
proposition,8,6,11,planned,4,16
proposition,8,6,23,planned,4,16
proposition,8,6,37,planned,4,16
proposition,1,6,11,planned,1,32
proposition,1,6,23,planned,1,32
proposition,1,6,37,planned,1,32
proposition,1,6,11,planned,2,32
proposition,1,6,23,planned,2,32
proposition,1,6,37,planned,2,32
proposition,1,6,11,planned,4,32
proposition,1,6,23,planned,4,32
proposition,1,6,37,planned,4,32
proposition,2,6,11,planned,1,32
proposition,2,6,23,planned,1,32
proposition,2,6,37,planned,1,32
proposition,2,6,11,planned,2,32
proposition,2,6,23,planned,2,32
proposition,2,6,37,planned,2,32
proposition,2,6,11,planned,4,32
proposition,2,6,23,planned,4,32
proposition,2,6,37,planned,4,32
proposition,4,6,11,planned,1,32
proposition,4,6,23,planned,1,32
proposition,4,6,37,planned,1,32
proposition,4,6,11,planned,2,32
proposition,4,6,23,planned,2,32
proposition,4,6,37,planned,2,32
proposition,4,6,11,planned,4,32
proposition,4,6,23,planned,4,32
proposition,4,6,37,planned,4,32
proposition,8,6,11,planned,1,32
proposition,8,6,23,planned,1,32
proposition,8,6,37,planned,1,32
proposition,8,6,11,planned,2,32
proposition,8,6,23,planned,2,32
proposition,8,6,37,planned,2,32
proposition,8,6,11,planned,4,32
proposition,8,6,23,planned,4,32
proposition,8,6,37,planned,4,32
proposition,1,6,11,planned,1,64
proposition,1,6,23,planned,1,64
proposition,1,6,37,planned,1,64
proposition,1,6,11,planned,2,64
proposition,1,6,23,planned,2,64
proposition,1,6,37,planned,2,64
proposition,1,6,11,planned,4,64
proposition,1,6,23,planned,4,64
proposition,1,6,37,planned,4,64
proposition,2,6,11,planned,1,64
proposition,2,6,23,planned,1,64
proposition,2,6,37,planned,1,64
proposition,2,6,11,planned,2,64
proposition,2,6,23,planned,2,64
proposition,2,6,37,planned,2,64
proposition,2,6,11,planned,4,64
proposition,2,6,23,planned,4,64
proposition,2,6,37,planned,4,64
proposition,4,6,11,planned,1,64
proposition,4,6,23,planned,1,64
proposition,4,6,37,planned,1,64
proposition,4,6,11,planned,2,64
proposition,4,6,23,planned,2,64
proposition,4,6,37,planned,2,64
proposition,4,6,11,planned,4,64
proposition,4,6,23,planned,4,64
proposition,4,6,37,planned,4,64
proposition,8,6,11,planned,1,64
proposition,8,6,23,planned,1,64
proposition,8,6,37,planned,1,64
proposition,8,6,11,planned,2,64
proposition,8,6,23,planned,2,64
proposition,8,6,37,planned,2,64
proposition,8,6,11,planned,4,64
proposition,8,6,23,planned,4,64
proposition,8,6,37,planned,4,64
proposition,1,6,11,planned,1,128
proposition,1,6,23,planned,1,128
proposition,1,6,37,planned,1,128
proposition,1,6,11,planned,2,128
proposition,1,6,23,planned,2,128
proposition,1,6,37,planned,2,128
proposition,1,6,11,planned,4,128
proposition,1,6,23,planned,4,128
proposition,1,6,37,planned,4,128
proposition,2,6,11,planned,1,128
proposition,2,6,23,planned,1,128
proposition,2,6,37,planned,1,128
proposition,2,6,11,planned,2,128
proposition,2,6,23,planned,2,128
proposition,2,6,37,planned,2,128
proposition,2,6,11,planned,4,128
proposition,2,6,23,planned,4,128
proposition,2,6,37,planned,4,128
proposition,4,6,11,planned,1,128
proposition,4,6,23,planned,1,128
proposition,4,6,37,planned,1,128
proposition,4,6,11,planned,2,128
proposition,4,6,23,planned,2,128
proposition,4,6,37,planned,2,128
proposition,4,6,11,planned,4,128
proposition,4,6,23,planned,4,128
proposition,4,6,37,planned,4,128
proposition,8,6,11,planned,1,128
proposition,8,6,23,planned,1,128
proposition,8,6,37,planned,1,128
proposition,8,6,11,planned,2,128
proposition,8,6,23,planned,2,128
proposition,8,6,37,planned,2,128
proposition,8,6,11,planned,4,128
proposition,8,6,23,planned,4,128
proposition,8,6,37,planned,4,128
proposition,1,6,11,planned,1,256
proposition,1,6,23,planned,1,256
proposition,1,6,37,planned,1,256
proposition,1,6,11,planned,2,256
proposition,1,6,23,planned,2,256
proposition,1,6,37,planned,2,256
proposition,1,6,11,planned,4,256
proposition,1,6,23,planned,4,256
proposition,1,6,37,planned,4,256
proposition,2,6,11,planned,1,256
proposition,2,6,23,planned,1,256
proposition,2,6,37,planned,1,256
proposition,2,6,11,planned,2,256
proposition,2,6,23,planned,2,256
proposition,2,6,37,planned,2,256
proposition,2,6,11,planned,4,256
proposition,2,6,23,planned,4,256
proposition,2,6,37,planned,4,256
proposition,4,6,11,planned,1,256
proposition,4,6,23,planned,1,256
proposition,4,6,37,planned,1,256
proposition,4,6,11,planned,2,256
proposition,4,6,23,planned,2,256
proposition,4,6,37,planned,2,256
proposition,4,6,11,planned,4,256
proposition,4,6,23,planned,4,256
proposition,4,6,37,planned,4,256
proposition,8,6,11,planned,1,256
proposition,8,6,23,planned,1,256
proposition,8,6,37,planned,1,256
proposition,8,6,11,planned,2,256
proposition,8,6,23,planned,2,256
proposition,8,6,37,planned,2,256
proposition,8,6,11,planned,4,256
proposition,8,6,23,planned,4,256
proposition,8,6,37,planned,4,256
proposition,1,8,11,planned,1,16
proposition,1,8,23,planned,1,16
proposition,1,8,37,planned,1,16
proposition,1,8,11,planned,2,16
proposition,1,8,23,planned,2,16
proposition,1,8,37,planned,2,16
proposition,1,8,11,planned,4,16
proposition,1,8,23,planned,4,16
proposition,1,8,37,planned,4,16
proposition,2,8,11,planned,1,16
proposition,2,8,23,planned,1,16
proposition,2,8,37,planned,1,16
proposition,2,8,11,planned,2,16
proposition,2,8,23,planned,2,16
proposition,2,8,37,planned,2,16
proposition,2,8,11,planned,4,16
proposition,2,8,23,planned,4,16
proposition,2,8,37,planned,4,16
proposition,4,8,11,planned,1,16
proposition,4,8,23,planned,1,16
proposition,4,8,37,planned,1,16
proposition,4,8,11,planned,2,16
proposition,4,8,23,planned,2,16
proposition,4,8,37,planned,2,16
proposition,4,8,11,planned,4,16
proposition,4,8,23,planned,4,16
proposition,4,8,37,planned,4,16
proposition,8,8,11,planned,1,16
proposition,8,8,23,planned,1,16
proposition,8,8,37,planned,1,16
proposition,8,8,11,planned,2,16
proposition,8,8,23,planned,2,16
proposition,8,8,37,planned,2,16
proposition,8,8,11,planned,4,16
proposition,8,8,23,planned,4,16
proposition,8,8,37,planned,4,16
proposition,1,8,11,planned,1,32
proposition,1,8,23,planned,1,32
proposition,1,8,37,planned,1,32
proposition,1,8,11,planned,2,32
proposition,1,8,23,planned,2,32
proposition,1,8,37,planned,2,32
proposition,1,8,11,planned,4,32
proposition,1,8,23,planned,4,32
proposition,1,8,37,planned,4,32
proposition,2,8,11,planned,1,32
proposition,2,8,23,planned,1,32
proposition,2,8,37,planned,1,32
proposition,2,8,11,planned,2,32
proposition,2,8,23,planned,2,32
proposition,2,8,37,planned,2,32
proposition,2,8,11,planned,4,32
proposition,2,8,23,planned,4,32
proposition,2,8,37,planned,4,32
proposition,4,8,11,planned,1,32
proposition,4,8,23,planned,1,32
proposition,4,8,37,planned,1,32
proposition,4,8,11,planned,2,32
proposition,4,8,23,planned,2,32
proposition,4,8,37,planned,2,32
proposition,4,8,11,planned,4,32
proposition,4,8,23,planned,4,32
proposition,4,8,37,planned,4,32
proposition,8,8,11,planned,1,32
proposition,8,8,23,planned,1,32
proposition,8,8,37,planned,1,32
proposition,8,8,11,planned,2,32
proposition,8,8,23,planned,2,32
proposition,8,8,37,planned,2,32
proposition,8,8,11,planned,4,32
proposition,8,8,23,planned,4,32
proposition,8,8,37,planned,4,32
proposition,1,8,11,planned,1,64
proposition,1,8,23,planned,1,64
proposition,1,8,37,planned,1,64
proposition,1,8,11,planned,2,64
proposition,1,8,23,planned,2,64
proposition,1,8,37,planned,2,64
proposition,1,8,11,planned,4,64
proposition,1,8,23,planned,4,64
proposition,1,8,37,planned,4,64
proposition,2,8,11,planned,1,64
proposition,2,8,23,planned,1,64
proposition,2,8,37,planned,1,64
proposition,2,8,11,planned,2,64
proposition,2,8,23,planned,2,64
proposition,2,8,37,planned,2,64
proposition,2,8,11,planned,4,64
proposition,2,8,23,planned,4,64
proposition,2,8,37,planned,4,64
proposition,4,8,11,planned,1,64
proposition,4,8,23,planned,1,64
proposition,4,8,37,planned,1,64
proposition,4,8,11,planned,2,64
proposition,4,8,23,planned,2,64
proposition,4,8,37,planned,2,64
proposition,4,8,11,planned,4,64
proposition,4,8,23,planned,4,64
proposition,4,8,37,planned,4,64
proposition,8,8,11,planned,1,64
proposition,8,8,23,planned,1,64
