step,current,target,prediction,correct,logit_margin,attention_probability,attention_probability_margin,sequence,case_id
3,B,R,R,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_C STATE_A STATE_B,11
4,R,STOP,STOP,True,0.9999990997193113,0.9999992122543974,0.9999990997193113,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_C STATE_A STATE_B STATE_R,11
1,R,STOP,STOP,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_R,12
1,B,R,R,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_B,13
2,R,STOP,STOP,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_B STATE_R,13
1,C,B,B,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_C,14
2,B,R,R,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_C STATE_B,14
3,R,STOP,STOP,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_C STATE_B STATE_R,14
1,A,C,C,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_A,15
2,C,B,B,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_A STATE_C,15
3,B,R,R,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_A STATE_C STATE_B,15
4,R,STOP,STOP,True,0.9999990997193113,0.9999992122543974,0.9999990997193113,MAP_R_STOP MAP_B_R MAP_C_B MAP_A_C STATE_A STATE_C STATE_B STATE_R,15
1,R,STOP,STOP,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_R,16
1,C,R,R,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_C,17
2,R,STOP,STOP,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_C STATE_R,17
1,A,C,C,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_A,18
2,C,R,R,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_A STATE_C,18
3,R,STOP,STOP,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_A STATE_C STATE_R,18
1,B,A,A,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_B,19
2,A,C,C,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_B STATE_A,19
3,C,R,R,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_B STATE_A STATE_C,19
4,R,STOP,STOP,True,0.9999990997193113,0.9999992122543974,0.9999990997193113,MAP_R_STOP MAP_C_R MAP_A_C MAP_B_A STATE_B STATE_A STATE_C STATE_R,19
1,R,STOP,STOP,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_R,20
1,C,R,R,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_C,21
2,R,STOP,STOP,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_C STATE_R,21
1,B,C,C,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_B,22
2,C,R,R,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_B STATE_C,22
3,R,STOP,STOP,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_B STATE_C STATE_R,22
1,A,B,B,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_A,23
2,B,C,C,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_A STATE_B,23
3,C,R,R,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_A STATE_B STATE_C,23
4,R,STOP,STOP,True,0.9999990997193113,0.9999992122543974,0.9999990997193113,MAP_R_STOP MAP_C_R MAP_B_C MAP_A_B STATE_A STATE_B STATE_C STATE_R,23
