case_id,condition,start,context_order,target_trajectory,predicted_trajectory,correct,minimum_signed_target_margin
17,fixed_shuffle,D,D;C;A;B,B C STOP,B C STOP,True,0.9999992122543088
18,reversed,B,C;B;D;A,C STOP,C STOP,True,0.9999993247893315
18,fixed_shuffle,B,D;C;A;B,C STOP,C STOP,True,0.9999993247893315
19,reversed,C,C;B;D;A,STOP,STOP,True,0.9999994373243796
19,fixed_shuffle,C,D;C;A;B,STOP,STOP,True,0.9999994373243796
20,reversed,A,B;C;D;A,D C B STOP,D C B STOP,True,0.9999990997193113
20,fixed_shuffle,A,D;B;A;C,D C B STOP,D C B STOP,True,0.9999990997193113
21,reversed,D,B;C;D;A,C B STOP,C B STOP,True,0.9999992122543088
21,fixed_shuffle,D,D;B;A;C,C B STOP,C B STOP,True,0.9999992122543088
22,reversed,C,B;C;D;A,B STOP,B STOP,True,0.9999993247893315
22,fixed_shuffle,C,D;B;A;C,B STOP,B STOP,True,0.9999993247893315
23,reversed,B,B;C;D;A,STOP,STOP,True,0.9999994373243796
23,fixed_shuffle,B,D;B;A;C,STOP,STOP,True,0.9999994373243796
24,reversed,B,D;C;A;B,A C D STOP,A C D STOP,True,0.9999990997193113
24,fixed_shuffle,B,A;D;B;C,A C D STOP,A C D STOP,True,0.9999990997193113
25,reversed,A,D;C;A;B,C D STOP,C D STOP,True,0.9999992122543088
25,fixed_shuffle,A,A;D;B;C,C D STOP,C D STOP,True,0.9999992122543088
26,reversed,C,D;C;A;B,D STOP,D STOP,True,0.9999993247893315
26,fixed_shuffle,C,A;D;B;C,D STOP,D STOP,True,0.9999993247893315
27,reversed,D,D;C;A;B,STOP,STOP,True,0.9999994373243796
27,fixed_shuffle,D,A;D;B;C,STOP,STOP,True,0.9999994373243796
28,reversed,B,C;D;A;B,A D C STOP,A D C STOP,True,0.9999990997193113
28,fixed_shuffle,B,A;C;B;D,A D C STOP,A D C STOP,True,0.9999990997193113
29,reversed,A,C;D;A;B,D C STOP,D C STOP,True,0.9999992122543088
29,fixed_shuffle,A,A;C;B;D,D C STOP,D C STOP,True,0.9999992122543088
30,reversed,D,C;D;A;B,C STOP,C STOP,True,0.9999993247893315
30,fixed_shuffle,D,A;C;B;D,C STOP,C STOP,True,0.9999993247893315
31,reversed,C,C;D;A;B,STOP,STOP,True,0.9999994373243796
31,fixed_shuffle,C,A;C;B;D,STOP,STOP,True,0.9999994373243796
32,reversed,B,D;A;C;B,C A D STOP,C A D STOP,True,0.9999990997193113
32,fixed_shuffle,B,C;D;B;A,C A D STOP,C A D STOP,True,0.9999990997193113
33,reversed,C,D;A;C;B,A D STOP,A D STOP,True,0.9999992122543088
33,fixed_shuffle,C,C;D;B;A,A D STOP,A D STOP,True,0.9999992122543088
34,reversed,A,D;A;C;B,D STOP,D STOP,True,0.9999993247893315
34,fixed_shuffle,A,C;D;B;A,D STOP,D STOP,True,0.9999993247893315
35,reversed,D,D;A;C;B,STOP,STOP,True,0.9999994373243796
35,fixed_shuffle,D,C;D;B;A,STOP,STOP,True,0.9999994373243796
36,reversed,B,A;D;C;B,C D A STOP,C D A STOP,True,0.9999990997193113
36,fixed_shuffle,B,C;A;B;D,C D A STOP,C D A STOP,True,0.9999990997193113
37,reversed,C,A;D;C;B,D A STOP,D A STOP,True,0.9999992122543088
37,fixed_shuffle,C,C;A;B;D,D A STOP,D A STOP,True,0.9999992122543088
38,reversed,D,A;D;C;B,A STOP,A STOP,True,0.9999993247893315
38,fixed_shuffle,D,C;A;B;D,A STOP,A STOP,True,0.9999993247893315
39,reversed,A,A;D;C;B,STOP,STOP,True,0.9999994373243796
39,fixed_shuffle,A,C;A;B;D,STOP,STOP,True,0.9999994373243796
40,reversed,B,C;A;D;B,D A C STOP,D A C STOP,True,0.9999990997193113
40,fixed_shuffle,B,D;C;B;A,D A C STOP,D A C STOP,True,0.9999990997193113
41,reversed,D,C;A;D;B,A C STOP,A C STOP,True,0.9999992122543088
41,fixed_shuffle,D,D;C;B;A,A C STOP,A C STOP,True,0.9999992122543088
42,reversed,A,C;A;D;B,C STOP,C STOP,True,0.9999993247893315
42,fixed_shuffle,A,D;C;B;A,C STOP,C STOP,True,0.9999993247893315
43,reversed,C,C;A;D;B,STOP,STOP,True,0.9999994373243796
43,fixed_shuffle,C,D;C;B;A,STOP,STOP,True,0.9999994373243796
44,reversed,B,A;C;D;B,D C A STOP,D C A STOP,True,0.9999990997193113
44,fixed_shuffle,B,D;A;B;C,D C A STOP,D C A STOP,True,0.9999990997193113
45,reversed,D,A;C;D;B,C A STOP,C A STOP,True,0.9999992122543088
45,fixed_shuffle,D,D;A;B;C,C A STOP,C A STOP,True,0.9999992122543088
46,reversed,C,A;C;D;B,A STOP,A STOP,True,0.9999993247893315
46,fixed_shuffle,C,D;A;B;C,A STOP,A STOP,True,0.9999993247893315
47,reversed,A,A;C;D;B,STOP,STOP,True,0.9999994373243796
47,fixed_shuffle,A,D;A;B;C,STOP,STOP,True,0.9999994373243796
48,reversed,C,D;B;A;C,A B D STOP,A B D STOP,True,0.9999990997193113
48,fixed_shuffle,C,A;D;C;B,A B D STOP,A B D STOP,True,0.9999990997193113
49,reversed,A,D;B;A;C,B D STOP,B D STOP,True,0.9999992122543088
49,fixed_shuffle,A,A;D;C;B,B D STOP,B D STOP,True,0.9999992122543088
50,reversed,B,D;B;A;C,D STOP,D STOP,True,0.9999993247893315
50,fixed_shuffle,B,A;D;C;B,D STOP,D STOP,True,0.9999993247893315
51,reversed,D,D;B;A;C,STOP,STOP,True,0.9999994373243796
51,fixed_shuffle,D,A;D;C;B,STOP,STOP,True,0.9999994373243796
52,reversed,C,B;D;A;C,A D B STOP,A D B STOP,True,0.9999990997193113
52,fixed_shuffle,C,A;B;C;D,A D B STOP,A D B STOP,True,0.9999990997193113
53,reversed,A,B;D;A;C,D B STOP,D B STOP,True,0.9999992122543088
53,fixed_shuffle,A,A;B;C;D,D B STOP,D B STOP,True,0.9999992122543088
54,reversed,D,B;D;A;C,B STOP,B STOP,True,0.9999993247893315
54,fixed_shuffle,D,A;B;C;D,B STOP,B STOP,True,0.9999993247893315
55,reversed,B,B;D;A;C,STOP,STOP,True,0.9999994373243796
55,fixed_shuffle,B,A;B;C;D,STOP,STOP,True,0.9999994373243796
56,reversed,C,D;A;B;C,B A D STOP,B A D STOP,True,0.9999990997193113
56,fixed_shuffle,C,B;D;C;A,B A D STOP,B A D STOP,True,0.9999990997193113
57,reversed,B,D;A;B;C,A D STOP,A D STOP,True,0.9999992122543088
57,fixed_shuffle,B,B;D;C;A,A D STOP,A D STOP,True,0.9999992122543088
58,reversed,A,D;A;B;C,D STOP,D STOP,True,0.9999993247893315
58,fixed_shuffle,A,B;D;C;A,D STOP,D STOP,True,0.9999993247893315
59,reversed,D,D;A;B;C,STOP,STOP,True,0.9999994373243796
59,fixed_shuffle,D,B;D;C;A,STOP,STOP,True,0.9999994373243796
60,reversed,C,A;D;B;C,B D A STOP,B D A STOP,True,0.9999990997193113
60,fixed_shuffle,C,B;A;C;D,B D A STOP,B D A STOP,True,0.9999990997193113
61,reversed,B,A;D;B;C,D A STOP,D A STOP,True,0.9999992122543088
61,fixed_shuffle,B,B;A;C;D,D A STOP,D A STOP,True,0.9999992122543088
62,reversed,D,A;D;B;C,A STOP,A STOP,True,0.9999993247893315
62,fixed_shuffle,D,B;A;C;D,A STOP,A STOP,True,0.9999993247893315
63,reversed,A,A;D;B;C,STOP,STOP,True,0.9999994373243796
63,fixed_shuffle,A,B;A;C;D,STOP,STOP,True,0.9999994373243796
64,reversed,C,B;A;D;C,D A B STOP,D A B STOP,True,0.9999990997193113
64,fixed_shuffle,C,D;B;C;A,D A B STOP,D A B STOP,True,0.9999990997193113
65,reversed,D,B;A;D;C,A B STOP,A B STOP,True,0.9999992122543088
65,fixed_shuffle,D,D;B;C;A,A B STOP,A B STOP,True,0.9999992122543088
66,reversed,A,B;A;D;C,B STOP,B STOP,True,0.9999993247893315
66,fixed_shuffle,A,D;B;C;A,B STOP,B STOP,True,0.9999993247893315
67,reversed,B,B;A;D;C,STOP,STOP,True,0.9999994373243796
67,fixed_shuffle,B,D;B;C;A,STOP,STOP,True,0.9999994373243796
68,reversed,C,A;B;D;C,D B A STOP,D B A STOP,True,0.9999990997193113
68,fixed_shuffle,C,D;A;C;B,D B A STOP,D B A STOP,True,0.9999990997193113
69,reversed,D,A;B;D;C,B A STOP,B A STOP,True,0.9999992122543088
69,fixed_shuffle,D,D;A;C;B,B A STOP,B A STOP,True,0.9999992122543088
70,reversed,B,A;B;D;C,A STOP,A STOP,True,0.9999993247893315
70,fixed_shuffle,B,D;A;C;B,A STOP,A STOP,True,0.9999993247893315
71,reversed,A,A;B;D;C,STOP,STOP,True,0.9999994373243796
71,fixed_shuffle,A,D;A;C;B,STOP,STOP,True,0.9999994373243796
72,reversed,D,C;B;A;D,A B C STOP,A B C STOP,True,0.9999990997193113
72,fixed_shuffle,D,A;C;D;B,A B C STOP,A B C STOP,True,0.9999990997193113
73,reversed,A,C;B;A;D,B C STOP,B C STOP,True,0.9999992122543088
73,fixed_shuffle,A,A;C;D;B,B C STOP,B C STOP,True,0.9999992122543088
74,reversed,B,C;B;A;D,C STOP,C STOP,True,0.9999993247893315
74,fixed_shuffle,B,A;C;D;B,C STOP,C STOP,True,0.9999993247893315
75,reversed,C,C;B;A;D,STOP,STOP,True,0.9999994373243796
75,fixed_shuffle,C,A;C;D;B,STOP,STOP,True,0.9999994373243796
76,reversed,D,B;C;A;D,A C B STOP,A C B STOP,True,0.9999990997193113
76,fixed_shuffle,D,A;B;D;C,A C B STOP,A C B STOP,True,0.9999990997193113
77,reversed,A,B;C;A;D,C B STOP,C B STOP,True,0.9999992122543088
77,fixed_shuffle,A,A;B;D;C,C B STOP,C B STOP,True,0.9999992122543088
78,reversed,C,B;C;A;D,B STOP,B STOP,True,0.9999993247893315
78,fixed_shuffle,C,A;B;D;C,B STOP,B STOP,True,0.9999993247893315
79,reversed,B,B;C;A;D,STOP,STOP,True,0.9999994373243796
79,fixed_shuffle,B,A;B;D;C,STOP,STOP,True,0.9999994373243796
80,reversed,D,C;A;B;D,B A C STOP,B A C STOP,True,0.9999990997193113
80,fixed_shuffle,D,B;C;D;A,B A C STOP,B A C STOP,True,0.9999990997193113
81,reversed,B,C;A;B;D,A C STOP,A C STOP,True,0.9999992122543088
81,fixed_shuffle,B,B;C;D;A,A C STOP,A C STOP,True,0.9999992122543088
82,reversed,A,C;A;B;D,C STOP,C STOP,True,0.9999993247893315
82,fixed_shuffle,A,B;C;D;A,C STOP,C STOP,True,0.9999993247893315
83,reversed,C,C;A;B;D,STOP,STOP,True,0.9999994373243796
83,fixed_shuffle,C,B;C;D;A,STOP,STOP,True,0.9999994373243796
84,reversed,D,A;C;B;D,B C A STOP,B C A STOP,True,0.9999990997193113
84,fixed_shuffle,D,B;A;D;C,B C A STOP,B C A STOP,True,0.9999990997193113
85,reversed,B,A;C;B;D,C A STOP,C A STOP,True,0.9999992122543088
85,fixed_shuffle,B,B;A;D;C,C A STOP,C A STOP,True,0.9999992122543088
86,reversed,C,A;C;B;D,A STOP,A STOP,True,0.9999993247893315
86,fixed_shuffle,C,B;A;D;C,A STOP,A STOP,True,0.9999993247893315
87,reversed,A,A;C;B;D,STOP,STOP,True,0.9999994373243796
87,fixed_shuffle,A,B;A;D;C,STOP,STOP,True,0.9999994373243796
88,reversed,D,B;A;C;D,C A B STOP,C A B STOP,True,0.9999990997193113
88,fixed_shuffle,D,C;B;D;A,C A B STOP,C A B STOP,True,0.9999990997193113
89,reversed,C,B;A;C;D,A B STOP,A B STOP,True,0.9999992122543088
89,fixed_shuffle,C,C;B;D;A,A B STOP,A B STOP,True,0.9999992122543088
90,reversed,A,B;A;C;D,B STOP,B STOP,True,0.9999993247893315
90,fixed_shuffle,A,C;B;D;A,B STOP,B STOP,True,0.9999993247893315
91,reversed,B,B;A;C;D,STOP,STOP,True,0.9999994373243796
91,fixed_shuffle,B,C;B;D;A,STOP,STOP,True,0.9999994373243796
92,reversed,D,A;B;C;D,C B A STOP,C B A STOP,True,0.9999990997193113
92,fixed_shuffle,D,C;A;D;B,C B A STOP,C B A STOP,True,0.9999990997193113
93,reversed,C,A;B;C;D,B A STOP,B A STOP,True,0.9999992122543088
93,fixed_shuffle,C,C;A;D;B,B A STOP,B A STOP,True,0.9999992122543088
94,reversed,B,A;B;C;D,A STOP,A STOP,True,0.9999993247893315
94,fixed_shuffle,B,C;A;D;B,A STOP,A STOP,True,0.9999993247893315
95,reversed,A,A;B;C;D,STOP,STOP,True,0.9999994373243796
95,fixed_shuffle,A,C;A;D;B,STOP,STOP,True,0.9999994373243796
